id,age,gender,sign,tarot,favorite_color,favorite_animal
154,29,female,scorpio,18,purple,hamster
155,31,female,capricorn,7,orange,dog
156,48,female,taurus,1,blue,elephant
157,48,nb,leo,2,red,tiger
158,27,nb,pisces,9,purple,elephant
159,27,male,taurus,1,blue,hamster
160,53,nb,taurus,12,red,tiger
161,53,female,libra,20,yellow,eagle
162,46,female,libra,6,red,elephant
163,49,female,aries,10,blue,hamster
164,50,female,sagittarius,17,red,horse
165,50,female,gemini,11,green,tiger
166,47,male,virgo,2,yellow,dog
167,46,female,libra,6,blue,goldfish
168,33,male,cancer,15,orange,eagle
169,34,male,scorpio,8,blue,hamster
170,41,male,pisces,4,green,tiger
171,40,nb,gemini,13,green,dog
172,18,male,libra,12,green,elephant
173,19,female,capricorn,9,yellow,goldfish
174,56,nb,aries,8,blue,elephant
175,57,male,libra,12,blue,eagle
176,42,female,aries,20,blue,dog
177,40,nb,sagittarius,2,yellow,tiger
178,25,male,sagittarius,21,orange,dog
179,27,male,libra,20,blue,cat
180,53,female,scorpio,15,blue,goldfish
181,54,female,sagittarius,15,red,eagle
182,30,male,virgo,15,purple,horse
183,30,female,taurus,10,red,hamster
184,35,male,pisces,5,red,cat
185,35,male,pisces,17,yellow,elephant
186,34,male,libra,10,blue,cat
187,36,male,aquarius,10,purple,elephant
188,23,female,pisces,3,yellow,elephant
189,27,female,libra,10,blue,tiger
190,57,female,virgo,12,purple,dog
191,58,female,gemini,11,green,dog
192,31,male,gemini,2,yellow,horse
193,31,male,aquarius,17,green,elephant
194,24,female,sagittarius,14,orange,horse
195,27,male,taurus,5,green,elephant
196,32,male,aquarius,16,purple,dog
197,35,female,scorpio,8,orange,elephant
198,44,female,leo,9,green,horse
199,44,female,aquarius,20,orange,goldfish
200,43,female,taurus,18,yellow,cat
201,44,male,pisces,21,orange,tiger
202,24,male,cancer,21,orange,elephant
203,24,male,libra,20,orange,eagle
204,45,female,aries,5,yellow,goldfish
205,45,male,taurus,13,blue,elephant
206,33,female,pisces,15,green,hamster
207,33,female,capricorn,8,yellow,tiger
208,48,female,sagittarius,14,orange,eagle
209,47,male,pisces,12,purple,hamster
210,28,female,leo,9,yellow,cat
211,28,male,virgo,11,purple,hamster
212,26,female,aquarius,19,blue,goldfish
213,23,female,aries,9,green,cat
214,40,female,capricorn,20,purple,cat
215,40,male,scorpio,10,orange,dog
216,35,female,libra,5,red,tiger
217,36,male,capricorn,8,orange,elephant
218,56,male,leo,16,orange,goldfish
219,56,nb,aries,17,green,eagle
220,48,nb,pisces,12,orange,eagle
221,48,male,gemini,21,purple,hamster
222,35,female,capricorn,15,yellow,goldfish
223,35,male,leo,6,purple,horse
224,47,female,pisces,19,green,tiger
225,48,female,pisces,16,red,horse
226,30,female,taurus,8,yellow,dog
227,30,female,aries,0,blue,cat
228,34,male,gemini,15,blue,hamster
229,34,female,scorpio,10,yellow,cat
230,19,female,scorpio,3,purple,horse
231,20,female,libra,17,orange,tiger
232,25,female,cancer,1,blue,cat
233,25,female,taurus,16,yellow,eagle
234,47,female,libra,16,purple,eagle
235,44,female,virgo,20,purple,dog
236,57,male,leo,1,yellow,cat
237,57,female,taurus,18,orange,horse
238,23,male,taurus,5,purple,horse
239,21,male,aries,11,purple,goldfish
240,29,nb,sagittarius,6,yellow,cat
241,29,male,virgo,8,orange,goldfish
242,44,male,aries,8,purple,eagle
243,46,female,leo,8,purple,hamster
244,18,female,aquarius,19,purple,elephant
245,18,female,pisces,11,orange,elephant
246,41,nb,gemini,18,blue,goldfish
247,41,male,capricorn,5,orange,cat
248,42,male,aquarius,0,orange,dog
249,42,female,pisces,15,orange,tiger
250,49,female,libra,10,purple,tiger
251,49,female,sagittarius,6,yellow,dog
252,21,male,cancer,15,green,dog
253,24,female,aries,19,green,eagle
254,54,female,cancer,19,blue,eagle
255,53,nb,gemini,8,green,cat
256,45,female,sagittarius,9,blue,cat
257,46,nb,aries,20,yellow,horse
258,35,nb,scorpio,12,orange,cat
259,34,female,leo,0,orange,eagle
260,42,female,sagittarius,18,red,horse
261,42,male,sagittarius,5,orange,hamster
262,21,male,cancer,3,yellow,dog
263,21,male,aquarius,7,yellow,cat
264,58,female,pisces,19,red,hamster
265,59,female,aquarius,9,red,tiger
266,24,female,libra,20,red,eagle
267,23,female,virgo,4,blue,dog
268,45,female,sagittarius,5,blue,cat
269,44,female,gemini,9,red,hamster
270,49,male,libra,16,purple,tiger
271,51,male,cancer,2,orange,cat
272,56,nb,capricorn,15,green,cat
273,56,female,virgo,2,yellow,goldfish
274,39,female,leo,20,yellow,horse
275,39,female,virgo,20,blue,eagle
276,49,female,capricorn,10,yellow,goldfish
277,53,male,sagittarius,14,purple,goldfish
278,24,male,cancer,12,green,tiger
279,23,female,capricorn,8,blue,horse
280,59,male,gemini,7,purple,horse
281,60,female,cancer,5,blue,hamster
282,59,male,aries,14,green,tiger
283,59,female,pisces,8,red,elephant
284,28,male,aries,17,orange,horse
285,29,male,libra,11,purple,dog
286,22,male,cancer,4,purple,goldfish
287,22,male,gemini,14,blue,cat
288,24,female,leo,0,yellow,hamster
289,27,male,virgo,11,green,elephant
290,38,female,pisces,0,blue,elephant
291,38,male,leo,14,red,eagle
292,34,female,taurus,0,orange,elephant
293,35,female,cancer,3,yellow,dog
294,45,female,leo,18,yellow,eagle
295,45,female,sagittarius,8,green,tiger
296,43,male,capricorn,12,blue,eagle
297,40,male,cancer,10,green,tiger
298,26,female,aquarius,2,purple,tiger
299,26,female,cancer,14,orange,hamster
300,52,female,aquarius,9,green,goldfish
301,50,female,cancer,8,blue,tiger
302,51,nb,taurus,6,orange,elephant
303,51,nb,gemini,6,green,horse
304,37,female,aries,4,purple,cat
305,37,female,gemini,20,red,hamster
306,56,female,aquarius,0,orange,horse
307,57,female,cancer,7,green,hamster
308,55,nb,virgo,21,red,elephant
309,55,male,virgo,0,purple,cat
310,42,male,virgo,6,orange,eagle
311,43,male,scorpio,4,yellow,tiger
312,46,nb,pisces,8,blue,cat
313,45,female,scorpio,0,orange,eagle
314,44,female,virgo,19,orange,cat
315,44,female,capricorn,18,blue,dog
316,24,male,capricorn,8,blue,hamster
317,22,female,capricorn,19,yellow,horse
318,45,male,gemini,15,orange,goldfish
319,45,female,taurus,10,green,hamster
320,40,female,sagittarius,2,yellow,cat
321,40,male,libra,10,purple,elephant
322,44,female,leo,13,orange,cat
323,42,female,aquarius,0,purple,dog
324,29,female,scorpio,2,yellow,goldfish
325,29,female,libra,10,orange,elephant
326,28,male,aquarius,14,orange,elephant
327,26,nb,virgo,7,orange,tiger
328,29,male,cancer,14,yellow,tiger
329,30,male,libra,14,yellow,goldfish
330,49,male,virgo,19,yellow,hamster
331,49,female,pisces,9,red,tiger
332,44,female,scorpio,12,orange,horse
333,47,male,libra,13,blue,eagle
334,18,female,sagittarius,3,blue,tiger
335,18,male,scorpio,9,red,eagle
336,43,female,cancer,9,orange,dog
337,42,female,leo,19,purple,tiger
338,21,female,libra,19,green,hamster
339,21,female,taurus,17,yellow,cat
340,29,nb,virgo,9,red,hamster
341,30,male,leo,9,green,elephant
342,37,male,aries,13,yellow,cat
343,38,male,taurus,5,purple,elephant
344,26,female,sagittarius,10,blue,cat
345,26,male,gemini,19,purple,goldfish
346,52,male,gemini,20,blue,hamster
347,52,male,sagittarius,3,orange,hamster
348,46,nb,cancer,5,red,goldfish
349,46,male,capricorn,18,red,dog
350,48,nb,pisces,6,red,elephant
351,51,nb,scorpio,9,green,hamster
352,54,male,aquarius,5,blue,elephant
353,53,nb,gemini,3,purple,elephant
354,25,male,libra,7,blue,eagle
355,25,female,pisces,13,orange,eagle
356,58,male,scorpio,3,orange,horse
357,60,male,virgo,0,blue,eagle
358,39,male,virgo,9,red,hamster
359,39,male,leo,2,purple,hamster
360,53,male,cancer,19,orange,hamster
361,52,male,taurus,14,orange,eagle
362,45,female,aquarius,14,orange,cat
363,45,male,libra,20,purple,hamster
364,31,female,capricorn,9,blue,tiger
365,31,male,leo,14,purple,goldfish
366,49,male,sagittarius,3,purple,tiger
367,49,female,aquarius,9,yellow,dog
368,35,male,capricorn,10,purple,hamster
369,35,male,gemini,5,blue,dog
370,44,female,aries,2,red,dog
371,45,male,pisces,9,red,dog
372,32,female,pisces,3,orange,tiger
373,34,nb,sagittarius,5,red,horse
374,33,male,taurus,11,green,goldfish
375,33,male,taurus,4,orange,dog
376,25,female,aquarius,6,blue,eagle
377,26,male,cancer,15,purple,elephant
378,58,female,aquarius,2,orange,hamster
379,57,female,sagittarius,7,red,dog
380,29,female,cancer,16,red,tiger
381,30,female,scorpio,0,orange,hamster
382,56,male,virgo,16,purple,elephant
383,59,female,cancer,15,red,eagle
384,40,male,taurus,3,blue,elephant
385,40,female,gemini,20,orange,horse
386,19,male,aquarius,12,blue,hamster
387,19,female,libra,13,orange,hamster
388,47,male,taurus,21,red,tiger
389,45,nb,leo,8,green,hamster
390,30,male,taurus,16,orange,goldfish
391,30,male,taurus,0,yellow,eagle
392,35,male,capricorn,18,purple,cat
393,31,female,sagittarius,11,blue,hamster
394,37,male,taurus,17,blue,cat
395,40,female,libra,1,orange,elephant
396,53,female,libra,12,yellow,tiger
397,52,female,gemini,10,green,horse
398,55,nb,pisces,8,blue,hamster
399,55,female,pisces,3,blue,horse
400,35,male,virgo,3,purple,dog
401,34,female,sagittarius,1,blue,elephant
402,51,female,gemini,0,purple,tiger
403,49,female,taurus,0,orange,cat
404,37,male,aquarius,1,orange,tiger
405,40,male,sagittarius,19,red,hamster
406,52,female,scorpio,3,red,eagle
407,53,female,gemini,10,yellow,dog
408,52,female,pisces,4,yellow,eagle
409,52,male,aquarius,3,red,elephant
410,26,male,libra,16,red,cat
411,26,female,scorpio,11,green,dog
412,19,male,capricorn,7,purple,cat
413,18,nb,gemini,4,red,dog
414,39,female,capricorn,10,yellow,tiger
415,38,male,aries,3,blue,elephant
416,36,female,gemini,3,green,eagle
417,36,male,taurus,6,red,tiger
418,23,female,aries,18,purple,hamster
419,23,nb,cancer,18,blue,horse
420,58,male,gemini,3,red,hamster
421,58,male,pisces,19,purple,hamster
422,31,nb,virgo,10,blue,goldfish
423,31,male,cancer,10,blue,tiger
424,55,female,taurus,11,orange,cat
425,55,male,virgo,9,red,eagle
426,49,female,capricorn,12,purple,elephant
427,49,male,scorpio,16,yellow,goldfish
428,35,nb,aries,7,orange,eagle
429,38,male,gemini,16,orange,hamster
430,29,male,leo,11,yellow,dog
431,30,male,libra,4,green,hamster
432,43,female,scorpio,11,blue,elephant
433,43,female,capricorn,19,red,tiger
434,27,male,aries,17,purple,cat
435,27,male,sagittarius,20,yellow,hamster
436,39,male,aquarius,18,green,horse
437,37,female,aries,2,red,horse
438,23,female,taurus,1,blue,tiger
439,23,male,aries,15,yellow,goldfish
440,57,male,taurus,17,purple,cat
441,58,female,libra,4,purple,dog
442,51,male,aquarius,0,orange,cat
443,51,female,virgo,1,blue,eagle
444,37,female,gemini,5,purple,elephant
445,38,female,pisces,15,purple,eagle
446,51,female,leo,14,red,tiger
447,52,female,cancer,17,orange,hamster
448,59,male,aquarius,5,red,hamster
449,59,male,taurus,5,orange,cat
450,20,male,virgo,1,yellow,tiger
451,20,male,sagittarius,0,orange,horse
452,25,female,taurus,1,yellow,hamster
453,25,female,sagittarius,6,red,hamster
454,31,female,taurus,17,purple,hamster
455,32,female,capricorn,9,red,tiger
456,33,female,scorpio,15,green,dog
457,33,female,aries,15,blue,cat
458,49,female,sagittarius,8,orange,dog
459,47,male,capricorn,13,red,goldfish
460,21,male,aries,20,orange,horse
461,20,nb,virgo,15,green,cat
462,56,female,capricorn,13,yellow,dog
463,56,female,taurus,18,blue,horse
464,25,male,taurus,19,purple,cat
465,27,female,scorpio,4,purple,dog
466,48,male,aquarius,7,yellow,dog
467,48,female,scorpio,11,red,goldfish
468,49,male,scorpio,20,yellow,hamster
469,49,female,libra,17,blue,dog
470,42,nb,taurus,13,green,goldfish
471,39,female,aries,6,orange,dog
472,20,female,aries,18,red,elephant
473,21,male,pisces,9,orange,horse
474,48,male,sagittarius,2,yellow,elephant
475,49,male,leo,9,red,eagle
476,42,male,leo,19,yellow,hamster
477,42,female,aries,11,blue,hamster
478,45,male,libra,2,red,hamster
479,45,male,libra,20,blue,eagle
480,55,male,sagittarius,18,yellow,eagle
481,55,male,aries,21,orange,goldfish
482,45,male,gemini,12,green,elephant
483,47,female,cancer,16,blue,eagle
484,27,female,gemini,8,purple,eagle
485,27,female,capricorn,15,blue,cat
486,37,female,capricorn,4,green,eagle
487,37,male,capricorn,13,orange,eagle
488,42,male,cancer,7,green,hamster
489,44,male,capricorn,2,red,dog
490,44,male,sagittarius,12,blue,dog
491,44,male,scorpio,4,orange,eagle
492,45,female,virgo,14,purple,cat
493,46,female,capricorn,7,blue,elephant
494,52,male,libra,5,blue,cat
495,52,female,capricorn,15,blue,eagle
496,41,female,aquarius,20,blue,tiger
497,43,female,virgo,0,purple,dog
498,19,male,cancer,18,purple,horse
499,19,female,virgo,19,purple,goldfish
500,18,nb,cancer,3,orange,cat
501,18,female,cancer,12,blue,horse
502,39,female,sagittarius,9,red,goldfish
503,38,female,sagittarius,5,purple,tiger
504,30,female,libra,20,orange,goldfish
505,31,male,sagittarius,14,purple,elephant
506,29,female,aquarius,19,purple,goldfish
507,31,female,aquarius,12,orange,horse
508,43,male,taurus,4,blue,horse
509,43,female,libra,13,blue,eagle
510,48,male,gemini,1,yellow,dog
511,48,female,libra,3,purple,elephant
512,21,male,pisces,1,yellow,cat
513,19,female,cancer,8,orange,tiger
514,44,female,cancer,4,red,goldfish
515,44,female,taurus,19,blue,goldfish
516,39,female,sagittarius,4,green,eagle
517,38,male,leo,1,purple,dog
518,41,female,libra,10,purple,eagle
519,41,male,capricorn,1,red,dog
520,48,male,pisces,19,orange,hamster
521,46,female,aquarius,8,green,cat
522,32,female,taurus,18,green,elephant
523,33,male,capricorn,8,red,eagle
524,26,nb,libra,0,purple,elephant
525,27,nb,pisces,5,orange,tiger
526,32,female,gemini,17,blue,horse
527,32,male,taurus,7,green,horse
528,18,female,virgo,1,yellow,dog
529,20,male,scorpio,1,red,horse
530,49,nb,gemini,21,yellow,tiger
531,49,male,scorpio,15,red,eagle
532,22,female,sagittarius,0,orange,cat
533,22,female,sagittarius,17,orange,tiger
534,43,female,pisces,10,orange,goldfish
535,44,male,libra,15,blue,dog
536,50,female,sagittarius,17,yellow,dog
537,50,nb,libra,6,orange,cat
538,56,male,cancer,12,green,elephant
539,54,male,aquarius,9,yellow,dog
540,32,male,sagittarius,1,yellow,elephant
541,34,female,virgo,4,purple,elephant
542,20,female,cancer,3,orange,tiger
543,19,male,virgo,15,red,cat
544,37,male,leo,19,blue,horse
545,37,female,sagittarius,20,red,tiger
546,40,male,gemini,8,blue,goldfish
547,37,female,gemini,12,orange,eagle
548,36,female,taurus,3,green,goldfish
549,36,female,libra,20,yellow,eagle
550,50,male,cancer,0,green,tiger
551,49,female,sagittarius,11,blue,dog
552,38,male,gemini,10,purple,dog
553,37,male,aries,8,purple,cat
554,43,female,sagittarius,12,green,horse
555,42,female,taurus,1,orange,goldfish
556,54,female,sagittarius,12,yellow,elephant
557,52,male,virgo,16,purple,goldfish
558,34,male,leo,5,red,tiger
559,34,male,taurus,12,green,goldfish
560,19,female,sagittarius,13,red,eagle
561,18,male,capricorn,19,red,horse
562,51,female,cancer,4,red,tiger
563,52,male,aries,14,purple,dog
564,31,female,pisces,4,green,goldfish
565,34,male,sagittarius,21,orange,goldfish
566,53,male,libra,8,green,eagle
567,52,female,aquarius,4,green,elephant
568,25,male,gemini,9,green,horse
569,25,female,leo,15,red,goldfish
570,56,female,pisces,14,blue,hamster
571,56,female,leo,3,orange,eagle
572,38,female,capricorn,0,red,horse
573,38,male,aquarius,21,orange,hamster
574,39,female,aquarius,5,orange,eagle
575,39,female,capricorn,4,green,goldfish
576,18,male,libra,19,yellow,cat
577,18,nb,pisces,18,orange,hamster
578,19,female,gemini,13,blue,dog
579,18,female,taurus,16,red,eagle
580,38,male,cancer,13,red,horse
581,37,female,capricorn,15,green,tiger
582,33,female,libra,11,red,goldfish
583,34,male,cancer,5,purple,elephant
584,35,female,leo,7,purple,dog
585,38,male,pisces,18,purple,cat
586,30,female,aquarius,17,green,dog
587,32,male,gemini,9,yellow,horse
588,46,female,virgo,21,green,goldfish
589,47,male,libra,5,red,dog
590,42,female,capricorn,6,purple,cat
591,43,male,scorpio,9,green,elephant
592,56,female,leo,10,red,tiger
593,53,nb,virgo,7,blue,goldfish
594,37,nb,libra,7,red,horse
595,37,female,gemini,3,orange,cat
596,41,female,virgo,5,purple,goldfish
597,38,nb,cancer,20,red,tiger
598,21,male,libra,16,blue,hamster
599,21,female,scorpio,15,green,tiger
600,51,female,virgo,18,purple,tiger
601,47,female,sagittarius,10,green,goldfish
602,58,male,gemini,3,purple,eagle
603,60,male,aries,8,yellow,goldfish
604,54,male,capricorn,11,blue,tiger
605,54,female,leo,20,red,horse
606,30,female,scorpio,5,blue,horse
607,32,male,sagittarius,7,orange,horse
608,40,nb,virgo,7,orange,dog
609,38,female,capricorn,19,blue,horse
610,53,female,cancer,8,orange,horse
611,55,nb,pisces,7,purple,goldfish
612,41,female,aries,10,purple,goldfish
613,40,female,leo,7,orange,tiger
614,18,male,cancer,6,yellow,tiger
615,18,nb,scorpio,4,orange,hamster
616,37,male,gemini,20,green,elephant
617,37,female,pisces,7,red,hamster
618,56,male,leo,12,red,goldfish
619,54,male,aries,18,blue,dog
620,36,male,cancer,10,yellow,eagle
621,37,male,scorpio,9,orange,hamster
622,49,female,pisces,10,orange,hamster
623,47,male,leo,8,purple,eagle
624,36,female,taurus,13,yellow,eagle
625,36,female,leo,19,yellow,goldfish
626,53,male,libra,3,blue,eagle
627,53,female,taurus,8,red,goldfish
628,23,male,sagittarius,1,blue,dog
629,23,male,pisces,12,blue,tiger
630,18,male,scorpio,12,orange,elephant
631,18,female,aries,10,green,eagle
632,26,male,virgo,14,red,goldfish
633,29,male,aries,7,yellow,tiger
634,35,male,virgo,20,green,tiger
635,35,male,taurus,18,blue,cat
636,18,female,cancer,18,orange,eagle
637,18,male,leo,9,orange,goldfish
638,31,male,taurus,21,green,horse
639,30,male,libra,21,orange,eagle
640,53,female,aries,1,purple,cat
641,52,female,gemini,21,purple,tiger
642,45,female,scorpio,1,green,goldfish
643,43,male,libra,14,orange,tiger
644,43,female,sagittarius,21,yellow,elephant
645,46,female,virgo,16,blue,eagle
646,23,female,gemini,6,blue,eagle
647,23,female,virgo,13,green,eagle
648,22,male,aquarius,9,blue,eagle
649,24,male,libra,6,purple,tiger
650,34,male,cancer,15,yellow,tiger
651,34,female,aries,11,purple,elephant
652,53,male,sagittarius,8,yellow,eagle
653,53,female,libra,13,green,dog
654,45,female,aries,1,purple,hamster
655,45,male,sagittarius,7,yellow,tiger
656,32,female,taurus,17,purple,tiger
657,32,male,virgo,4,red,eagle
658,34,nb,aquarius,5,yellow,hamster
659,32,male,gemini,7,orange,hamster
660,29,nb,virgo,14,red,eagle
661,29,nb,sagittarius,16,green,dog
662,52,male,leo,12,green,tiger
663,52,female,libra,14,yellow,horse
664,56,female,taurus,0,yellow,cat
665,59,male,gemini,20,red,tiger
666,57,male,sagittarius,0,orange,horse
667,57,female,scorpio,8,blue,horse
668,42,female,libra,1,blue,dog
669,42,male,gemini,2,yellow,goldfish
670,37,male,taurus,5,green,dog
671,39,female,aries,9,orange,cat
672,40,male,virgo,17,blue,eagle
673,39,female,pisces,5,orange,tiger
674,25,female,scorpio,19,green,elephant
675,26,nb,capricorn,20,yellow,horse
676,37,male,sagittarius,9,blue,cat
677,37,female,pisces,1,orange,hamster
678,21,female,pisces,0,yellow,elephant
679,20,female,virgo,18,red,hamster
680,55,female,taurus,0,yellow,tiger
681,56,male,scorpio,1,purple,hamster
682,30,male,leo,13,yellow,hamster
683,28,male,capricorn,8,purple,hamster
684,49,male,aries,12,yellow,elephant
685,46,male,libra,12,red,eagle
686,33,female,capricorn,1,yellow,eagle
687,33,female,scorpio,9,green,cat
688,34,female,aries,7,orange,cat
689,33,female,virgo,4,red,hamster
690,33,female,scorpio,6,purple,cat
691,35,male,aquarius,0,purple,goldfish
692,22,female,gemini,21,red,hamster
693,22,nb,aquarius,16,purple,dog
694,56,female,cancer,2,green,horse
695,56,female,virgo,19,blue,elephant
696,59,male,virgo,14,green,goldfish
697,60,male,aries,8,purple,horse
698,37,male,capricorn,14,orange,tiger
699,37,male,gemini,0,blue,goldfish
700,47,male,aries,8,green,goldfish
701,45,female,aries,2,yellow,tiger
702,42,male,libra,6,yellow,eagle
703,44,nb,taurus,1,red,dog
704,37,male,taurus,7,red,dog
705,39,female,aries,4,orange,horse
706,46,female,taurus,12,orange,goldfish
707,47,male,taurus,9,orange,goldfish
708,53,female,libra,16,purple,tiger
709,53,female,aries,9,yellow,tiger
710,55,male,capricorn,7,orange,eagle
711,55,male,aries,15,orange,eagle
712,50,female,aries,10,green,cat
713,51,female,libra,10,blue,tiger
714,48,female,taurus,7,blue,goldfish
715,48,nb,cancer,19,yellow,goldfish
716,32,female,aquarius,8,purple,hamster
717,30,female,capricorn,7,red,hamster
718,23,female,sagittarius,20,yellow,elephant
719,20,female,sagittarius,18,yellow,hamster
720,19,female,cancer,15,orange,elephant
721,21,male,gemini,15,red,hamster
722,39,female,pisces,11,green,horse
723,40,male,pisces,20,purple,eagle
724,35,female,virgo,12,red,eagle
725,35,female,taurus,18,blue,tiger
726,34,male,cancer,6,orange,eagle
727,34,male,capricorn,17,blue,goldfish
728,19,male,taurus,11,orange,tiger
729,18,female,scorpio,2,blue,cat
730,52,male,taurus,9,green,tiger
731,52,female,libra,14,yellow,cat
732,29,female,sagittarius,15,orange,dog
733,32,female,cancer,13,red,elephant
734,28,female,taurus,8,green,cat
735,30,female,aries,1,yellow,goldfish
736,34,female,aries,12,orange,cat
737,37,male,gemini,18,purple,elephant
738,35,female,aries,7,red,horse
